100	0	0
100	2	0
100	5	0.726839
100	8	0.95196
100	10	1.24378
100	13	1.65536
100	16	1.79329
100	19	2.13526
100	21	2.34471
100	24	2.43978
100	27	2.68489
100	29	2.83091
100	32	2.97582
100	35	3.16715
100	37	3.36565
100	40	3.30949
100	43	3.58461
100	45	3.68478
100	48	3.80696
100	51	3.98858
2.64	0	0
2.64	2	-9.72229e-17
2.64	5	0.775909
2.64	8	0.921529
2.64	10	1.23335
2.64	13	1.58511
2.64	16	1.75121
2.64	19	2.11359
2.64	21	2.22929
2.64	24	2.35989
2.64	27	2.5687
2.64	29	2.82498
2.64	32	2.96961
2.64	35	3.10029
2.64	37	3.20142
2.64	40	3.35786
2.64	43	3.52828
2.64	45	3.6597
2.64	48	3.68622
2.64	51	3.96374
1.34	0	0
1.34	2	0
1.34	5	0.735964
1.34	8	0.96443
1.34	10	1.15205
1.34	13	1.50649
1.34	16	1.61867
1.34	19	1.94474
1.34	21	2.10239
1.34	24	2.17785
1.34	27	2.54055
1.34	29	2.62729
1.34	32	2.69624
1.34	35	2.89009
1.34	37	2.98313
1.34	40	2.99588
1.34	43	3.39589
1.34	45	3.26803
1.34	48	3.54548
1.34	51	3.73437
0.896	0	0
0.896	2	1.94924e-16
0.896	5	0.568273
0.896	8	0.845044
0.896	10	1.04035
0.896	13	1.32224
0.896	16	1.60076
0.896	19	1.7392
0.896	21	1.92147
0.896	24	2.101
0.896	27	2.37524
0.896	29	2.4276
0.896	32	2.31784
0.896	35	2.82134
0.896	37	2.70783
0.896	40	2.81956
0.896	43	2.87077
0.896	45	3.04149
0.896	48	3.26259
0.896	51	3.3074
0.673	0	0
0.673	2	-5.13998e-17
0.673	5	0.687767
0.673	8	0.751273
0.673	10	0.555422
0.673	13	1.28029
0.673	16	1.35484
0.673	19	1.43975
0.673	21	1.59752
0.673	24	1.80958
0.673	27	2.11722
0.673	29	1.93333
0.673	32	1.99808
0.673	35	2.48032
0.673	37	2.44303
0.673	40	2.25559
0.673	43	2.35791
0.673	45	2.64097
0.673	48	2.56927
0.673	51	2.61876
0.539	0	0
0.539	2	0
0.539	5	0.522691
0.539	8	0.582203
0.539	10	0.692633
0.539	13	0.801943
0.539	16	1.00605
0.539	19	0.657676
0.539	21	1.31323
0.539	24	1.56727
0.539	27	1.52529
0.539	29	1.12606
0.539	32	1.18537
0.539	35	1.86548
0.539	37	1.58076
0.539	40	1.34942
0.539	43	1.61544
0.539	45	1.6023
0.539	48	2.17578
0.539	51	1.79426
0.45	0	0
0.45	2	-1.59041e-17
0.45	5	0.209625
0.45	8	0.365086
0.45	10	0.478858
0.45	13	0.569965
0.45	16	0.162287
0.45	19	0.503338
0.45	21	0.820361
0.45	24	0.738565
0.45	27	0.76157
0.45	29	0.484772
0.45	32	0.994038
0.45	35	0.183752
0.45	37	1.56178
0.45	40	0.0642209
0.45	43	1.67424
0.45	45	1.05346
0.45	48	1.7712
0.45	51	2.29535
0.386	0	0
0.386	2	0
0.386	5	0.0443101
0.386	8	0.0424262
0.386	10	0.320387
0.386	13	0.641753
0.386	16	0.114083
0.386	19	0.305323
0.386	21	0.104885
0.386	24	0.798053
0.386	27	1.18569
0.386	29	1.47594
0.386	32	0.0852935
0.386	35	0.204852
0.386	37	0.461944
0.386	40	0.398867
0.386	43	2.70393
0.386	45	0
0.386	48	0.0753205
0.386	51	0.0268968
0.338	0	0
0.338	2	-4.21538e-16
0.338	5	0.0163338
0.338	8	2.22045e-16
0.338	10	0.183639
0.338	13	0.173416
0.338	16	8.88178e-16
0.338	19	-1.27912e-15
0.338	21	1.77636e-15
0.338	24	-2.0029e-16
0.338	27	0.0101307
0.338	29	0
0.338	32	0
0.338	35	0
0.338	37	0
0.338	40	7.10543e-15
0.338	43	0
0.338	45	0
0.338	48	5.04623e-15
0.338	51	-1.62148e-16
0.3	0	0
0.3	2	2.0013e-18
0.3	5	-4.44089e-16
0.3	8	-8.88178e-16
0.3	10	0
0.3	13	4.86535e-16
0.3	16	3.30959e-16
0.3	19	2.84455e-15
0.3	21	-1.77636e-15
0.3	24	-3.55271e-15
0.3	27	2.45283e-15
0.3	29	-1.4086e-16
0.3	32	-1.02217e-16
0.3	35	-4.53232e-15
0.3	37	-3.55271e-15
0.3	40	-3.55271e-15
0.3	43	-1.13074e-14
0.3	45	-1.34615e-15
0.3	48	2.27692e-15
0.3	51	0
